predictor;coefficient;pvalue;standard error;0.025;0.975
const;-0.12957776090196926;0.14875545108671062;0.08951494011299407;-0.3057137023666716;0.04655818056273306
age_log2;0.30148278511917537;1.6609402827163142e-09;0.04851037189250567;0.20603033870851187;0.3969352315298389
credit_card_days_log2;0.528550657081678;8.426177664665741e-14;0.06759272731729903;0.39555041547763825;0.6615508986857178
giro_days;0.31635160911118965;5.885834591144333e-09;0.05282887668195423;0.2124017665580588;0.4203014516643205
giro;-0.28572960676142023;1.3480553039339604e-06;0.057964267159492745;-0.39978420764213674;-0.17167500588070372
solvency;-0.33201365117457415;2.061368052640602e-15;0.03967992009707119;-0.4100906746828238;-0.2539366276663245
unsecured_loan_log2;-0.1586792127326092;0.0008540510652489372;0.047118716848286724;-0.2513933400303046;-0.0659650854349138
female;0.14901707271647988;0.036312820780457646;0.07087404397342349;0.009560279862551063;0.28847386557040866
telecom;-0.12798102375425907;0.0006863420810689074;0.03731550851630715;-0.20140566343404132;-0.05455638407447683
relocation;-0.08786608731100073;0.03375750865152948;0.04120417061193865;-0.16894233417934357;-0.006789840442657888
conditions_log2;-0.07451577193178545;0.1204425043717637;0.047851880019983487;-0.16867252305664365;0.019640979193072755
credit_card;-0.16654198499284223;0.011831210827227762;0.0657706379250377;-0.2959569543492139;-0.037127015636470584
finance_year_log2;-0.023293095404836837;0.6365183949439841;0.04924124814975032;-0.12018366574767841;0.07359747493800473
secured_loan_log2;0.02514431423777739;0.5382146025581375;0.040805283810514695;-0.055147054684850864;0.10543568316040564
business_relation;-0.04960692877244336;0.16056239849155127;0.03526822965139784;-0.11900319743553939;0.01978933989065266
identity_**3;-0.030531831554962433;0.44001198746110304;0.039489084902996525;-0.10823335420793014;0.04716969109800527
east;0.024415500643009347;0.77182633282812;0.08412138990100147;-0.14110770910085077;0.18993871038686946
global_credit;-0.05343262449286712;0.23714792931338316;0.04511202108431461;-0.14219823496002787;0.03533298597429364
banking_connection_**3;-0.03831277732336962;0.42498726956066135;0.04795952970691103;-0.1326813476030128;0.056055792956273574
credit_days_**3;-0.0032719717954087756;0.9412732849139813;0.044378021015841415;-0.09059331169798569;0.08404936810716813
monthlyIncome;-0.05480323709191487;0.2070770936860497;0.04334688537095065;-0.1400956414071877;0.030489167223357955
mailOrder;0.11696198884337769;0.19673808040938992;0.0904094692949486;-0.060934091648757654;0.29485806933551306
