;F-test;H-test;Normal-test;Variance-test
score;7.526503740311415e-07;1.774873943981841e-06;[0.0015477834967896342, 1.0514747252277296e-15];0.027388288245232716
monthlyIncome;1.3760784728736568e-06;8.910722034813959e-07;[1.48506671848736e-06, 2.4749754973806073e-28];0.03212703851176107
age;0.06699858448801527;0.15978701430343112;[1.0793660294439178e-05, 3.9644484258163853e-19];0.10487301843867682
relocation;0.3657580716399883;0.6099016861289128;[1.2924785153245466e-07, 3.8218130705260976e-27];0.020652611215804258
request;0.04284873023572582;0.03813366282242107;[2.3324542980634327e-15, 3.1809475140173348e-43];0.05414431917138916
banking_connection;0.8894698252148756;0.902617276075987;[2.237583939525069e-21, 0.0];0.8894698252148756
business_relation;0.47016901301872105;0.4120486733259159;[5.312120168434124e-22, 0.0];0.47016901301872105
conditions;0.15052192846381535;0.0792019854072643;[1.241052636836014e-22, 0.0];0.15052192846381535
credit_card;0.4827814278762619;0.5744296758704035;[1.2742792931952351e-11, 6.510674630261532e-36];0.6707187692512879
giro;0.27408213667389436;0.3251736533773914;[1.9303513648649684e-11, 4.175740367793258e-30];0.37405891538611824
global_credit;0.733025865702838;0.5868313656079907;[1.1438260982473761e-21, 0.0];0.733025865702838
identity;0.2923924307658452;0.4593918080136431;[1.490901898823329e-17, 0.0];0.2923924307658452
secured_loan;0.6791899668975945;0.9559109031838507;[2.544900964523804e-20, 0.0];0.6791899668975945
solvency;0.06308946458705099;0.11840269612691194;[3.672211816449717e-15, 1.4895802675772805e-41];0.06308946458705099
telecom;0.15226303922633685;0.09928104845324535;[1.2537838595284297e-16, 1.401298464324817e-44];0.15226303922633685
unsecured_loan;0.2625243940074641;0.20580344394010167;[2.5687413356754122e-21, 0.0];0.2625243940074641
Versandhandel_req;0.8881294186566109;0.6394627058999572;[1.9602653787665227e-20, 0.0];0.8881294186566109
finance_year;0.006398300500536912;0.006041987528723812;[3.166095833092655e-19, 0.0];0.006398300500536912
credit_days;0.8896724966525122;0.6018228626065314;[5.599269318408465e-19, 0.0];0.8896724966525122
credit_card_days;0.8120437370507032;0.7048303012298988;[2.2873383742627595e-11, 4.812037366673769e-35];0.8266313487079257
giro_days;0.9182313026022372;0.8224988551235792;[2.8578515554045225e-08, 4.862322506368432e-29];0.8916956445411797
